Taxid	Name	Taxid2	Length	tax_id	parent_id	rank	tax_name	root	below_root	superkingdom	below_superkingdom	below_below_superkingdom	below_below_below_superkingdom	below_below_below_below_superkingdom	below_below_below_below_below_superkingdom	below_below_below_below_below_below_superkingdom	kingdom	subkingdom	superphylum	phylum	below_phylum	below_below_phylum	subphylum	below_subphylum	below_below_subphylum	class	below_class	below_below_class	subclass	order	below_order	below_below_order	suborder	family	below_family	below_below_family	below_below_below_family	subfamily	below_subfamily	tribe	genus	below_genus	below_below_genus	subgenus	species_group	species_subgroup	below_species_subgroup	species	below_species	below_below_species	below_below_below_species	subspecies	below_subspecies	below_below_subspecies	below_below_below_subspecies	varietas	below_varietas
2110	"Mycoplasma_agalactiae"	2110	1006702	2110	2093	species	Mycoplasma_agalactiae	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	544448	NA	NA	NA	NA	NA	31969	NA	NA	NA	2085	NA	NA	NA	2092	NA	NA	NA	NA	NA	NA	2093	NA	NA	NA	NA	NA	NA	2110	NA	NA	NA	NA	NA	NA	NA	NA	NA
2762	"Cyanophora_paradoxa"	2762	187156	2762	2761	species	Cyanophora_paradoxa	1	131567	2759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38254	NA	NA	NA	NA	NA	NA	NA	33678	NA	NA	NA	NA	NA	NA	2761	NA	NA	NA	NA	NA	NA	2762	NA	NA	NA	NA	NA	NA	NA	NA	NA
2769	"Chondrus_crispus"	2769	116470256	2769	2768	species	Chondrus_crispus	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2806	NA	NA	NA	28017	NA	NA	NA	29217	NA	NA	NA	NA	NA	NA	2768	NA	NA	NA	NA	NA	NA	2769	NA	NA	NA	NA	NA	NA	NA	NA	NA
2771	"Cyanidium_caldarium"	2771	164921	2771	2770	species	Cyanidium_caldarium	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2797	NA	NA	NA	265318	NA	NA	NA	265316	NA	NA	NA	NA	NA	NA	2770	NA	NA	NA	NA	NA	NA	2771	NA	NA	NA	NA	NA	NA	NA	NA	NA
2775	"Gracilaria_chilensis"	2775	11157	2775	2774	species	Gracilaria_chilensis	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2806	NA	NA	NA	31468	NA	NA	NA	31469	NA	NA	NA	NA	NA	NA	2774	NA	NA	NA	NA	NA	NA	2775	NA	NA	NA	NA	NA	NA	NA	NA	NA
2782	"Gracilariopsis_lemaneiformis"	2782	4293	2782	2781	species	Gracilariopsis_lemaneiformis	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2806	NA	NA	NA	31468	NA	NA	NA	31469	NA	NA	NA	NA	NA	NA	2781	NA	NA	NA	NA	NA	NA	2782	NA	NA	NA	NA	NA	NA	NA	NA	NA
2785	"Pyropia_tenera"	2785	44088	2785	1094566	species	Pyropia_tenera	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2797	NA	NA	NA	29216	NA	NA	NA	31345	NA	NA	NA	NA	NA	NA	1094566	NA	NA	NA	NA	NA	NA	2785	NA	NA	NA	NA	NA	NA	NA	NA	NA
2786	"Porphyra_umbilicalis"	2786	29123	2786	2784	species	Porphyra_umbilicalis	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2797	NA	NA	NA	29216	NA	NA	NA	31345	NA	NA	NA	NA	NA	NA	2784	NA	NA	NA	NA	NA	NA	2786	NA	NA	NA	NA	NA	NA	NA	NA	NA
2787	"Porphyra_purpurea"	2787	227781	2787	2784	species	Porphyra_purpurea	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2797	NA	NA	NA	29216	NA	NA	NA	31345	NA	NA	NA	NA	NA	NA	2784	NA	NA	NA	NA	NA	NA	2787	NA	NA	NA	NA	NA	NA	NA	NA	NA
2788	"Pyropia_yezoensis"	2788	233640	2788	1094566	species	Pyropia_yezoensis	1	131567	2759	2763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2797	NA	NA	NA	29216	NA	NA	NA	31345	NA	NA	NA	NA	NA	NA	1094566	NA	NA	NA	NA	NA	NA	2788	NA	NA	NA	NA	NA	NA	NA	NA	NA
2829	"Heterosigma_akashiwo"	2829	198060	2829	2828	species	Heterosigma_akashiwo	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38410	NA	NA	NA	658125	NA	NA	NA	658124	NA	NA	NA	NA	NA	NA	2828	NA	NA	NA	NA	NA	NA	2829	NA	NA	NA	NA	NA	NA	NA	NA	NA
2832	"Pavlova_lutheri"	2832	95281	2832	2831	species	Pavlova_lutheri	1	131567	2759	2830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73026	NA	NA	NA	418969	NA	NA	NA	NA	NA	NA	2831	NA	NA	NA	NA	NA	NA	2832	NA	NA	NA	NA	NA	NA	NA	NA	NA
2839	"Odontella_sinensis"	2839	119704	2839	2838	species	Odontella_sinensis	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	2836	NA	NA	NA	NA	NA	589449	NA	NA	33837	33838	NA	NA	NA	33839	NA	NA	NA	NA	NA	NA	2838	NA	NA	NA	NA	NA	NA	2839	NA	NA	NA	NA	NA	NA	NA	NA	NA
2850	"Phaeodactylum_tricornutum"	2850	194725	2850	2849	species	Phaeodactylum_tricornutum	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	2836	NA	NA	NA	NA	NA	33849	33850	NA	NA	38748	NA	NA	NA	38749	NA	NA	NA	NA	NA	NA	2849	NA	NA	NA	NA	NA	NA	2850	NA	NA	NA	NA	NA	NA	NA	NA	NA
2872	"Costaria_costata"	2872	37461	2872	2871	species	Costaria_costata	1	131567	2759	33634	569578	NA	NA	NA	NA	NA	NA	NA	2870	NA	NA	NA	NA	NA	NA	NA	NA	NA	2886	NA	NA	NA	416988	NA	NA	NA	NA	NA	NA	2871	NA	NA	NA	NA	NA	NA	2872	NA	NA	NA	NA	NA	NA	NA	NA	NA
2876	"Dictyota_dichotoma"	2876	31617	2876	2875	species	Dictyota_dichotoma	1	131567	2759	33634	569578	NA	NA	NA	NA	NA	NA	NA	2870	NA	NA	NA	NA	NA	NA	NA	NA	NA	2873	NA	NA	NA	2874	NA	NA	NA	NA	NA	NA	2875	NA	NA	NA	NA	NA	NA	2876	NA	NA	NA	NA	NA	NA	NA	NA	NA
2880	"Ectocarpus_siliculosus"	2880	139954	2880	2879	species	Ectocarpus_siliculosus	1	131567	2759	33634	569578	NA	NA	NA	NA	NA	NA	NA	2870	NA	NA	NA	NA	NA	NA	NA	NA	NA	2877	NA	NA	NA	2878	NA	NA	NA	NA	NA	NA	2879	NA	NA	NA	NA	NA	NA	2880	NA	NA	NA	NA	NA	NA	NA	NA	NA
2885	"Pylaiella_littoralis"	2885	58507	2885	2882	species	Pylaiella_littoralis	1	131567	2759	33634	569578	NA	NA	NA	NA	NA	NA	NA	2870	NA	NA	NA	NA	NA	NA	NA	NA	NA	2877	NA	NA	NA	142642	NA	NA	NA	NA	NA	NA	2882	NA	NA	NA	NA	NA	NA	2885	NA	NA	NA	NA	NA	NA	NA	NA	NA
2898	"Cryptomonas_paramecium"	2898	970758	2898	3030	species	Cryptomonas_paramecium	1	131567	2759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3027	NA	NA	NA	589350	NA	NA	NA	2896	NA	NA	NA	NA	NA	NA	3030	NA	NA	NA	NA	NA	NA	2898	NA	NA	NA	NA	NA	NA	NA	NA	NA
2903	"Emiliania_huxleyi"	2903	134322	2903	2902	species	Emiliania_huxleyi	1	131567	2759	2830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73020	NA	NA	NA	418966	NA	NA	NA	NA	NA	NA	2902	NA	NA	NA	NA	NA	NA	2903	NA	NA	NA	NA	NA	NA	NA	NA	NA
2986	"Ochromonas_danica"	2986	41035	2986	2985	species	Ochromonas_danica	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2825	NA	NA	NA	96792	NA	NA	NA	98651	NA	NA	NA	NA	NA	NA	2985	NA	NA	NA	NA	NA	NA	2986	NA	NA	NA	NA	NA	NA	NA	NA	NA
3037	"Euglena_longa"	3037	73345	3037	3038	species	Euglena_longa	1	131567	2759	33682	NA	NA	NA	NA	NA	NA	NA	NA	3035	NA	NA	NA	NA	NA	NA	NA	NA	NA	86650	NA	NA	NA	1131320	NA	NA	NA	NA	NA	NA	3038	NA	NA	NA	NA	NA	NA	3037	NA	NA	NA	NA	NA	NA	NA	NA	NA
3039	"Euglena_gracilis"	3039	143171	3039	3038	species	Euglena_gracilis	1	131567	2759	33682	NA	NA	NA	NA	NA	NA	NA	NA	3035	NA	NA	NA	NA	NA	NA	NA	NA	NA	86650	NA	NA	NA	1131320	NA	NA	NA	NA	NA	NA	3038	NA	NA	NA	NA	NA	NA	3039	NA	NA	NA	NA	NA	NA	NA	NA	NA
3040	"Euglena_viridis"	3040	91616	3040	3038	species	Euglena_viridis	1	131567	2759	33682	NA	NA	NA	NA	NA	NA	NA	NA	3035	NA	NA	NA	NA	NA	NA	NA	NA	NA	86650	NA	NA	NA	1131320	NA	NA	NA	NA	NA	NA	3038	NA	NA	NA	NA	NA	NA	3040	NA	NA	NA	NA	NA	NA	NA	NA	NA
4770	"Saprolegnia_ferax"	4770	46930	4770	4769	species	Saprolegnia_ferax	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4762	NA	NA	NA	4763	NA	NA	NA	4764	NA	NA	NA	NA	NA	NA	4769	NA	NA	NA	NA	NA	NA	4770	NA	NA	NA	NA	NA	NA	NA	NA	NA
4787	"Phytophthora_infestans"	4787	37957	4787	4783	species	Phytophthora_infestans	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4762	NA	NA	NA	4776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4783	NA	NA	NA	NA	NA	NA	4787	NA	NA	NA	NA	NA	NA	NA	NA	NA
4896	"Schizosaccharomyces_pombe"	4896	19431	4896	4895	species	Schizosaccharomyces_pombe	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	NA	NA	451866	NA	NA	147554	NA	NA	NA	34346	NA	NA	NA	4894	NA	NA	NA	NA	NA	NA	4895	NA	NA	NA	NA	NA	NA	4896	NA	NA	NA	NA	NA	NA	NA	NA	NA
4950	"Torulaspora_delbrueckii"	4950	9220678	4950	4948	species	Torulaspora_delbrueckii	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147537	NA	NA	4891	NA	NA	NA	4892	NA	NA	NA	4893	NA	NA	NA	NA	NA	NA	4948	NA	NA	NA	NA	NA	NA	4950	NA	NA	NA	NA	NA	NA	NA	NA	NA
4952	"Yarrowia_lipolytica"	4952	47916	4952	4951	species	Yarrowia_lipolytica	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147537	NA	NA	4891	NA	NA	NA	4892	NA	NA	NA	34353	NA	NA	NA	NA	NA	NA	4951	NA	NA	NA	NA	NA	NA	4952	NA	NA	NA	NA	NA	NA	NA	NA	NA
4959	"Debaryomyces_hansenii"	4959	29462	4959	4958	species	Debaryomyces_hansenii	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147537	NA	NA	4891	NA	NA	NA	4892	NA	NA	NA	766764	NA	NA	NA	NA	NA	NA	4958	NA	NA	NA	NA	NA	NA	4959	NA	NA	NA	NA	NA	NA	NA	NA	NA
5061	"Aspergillus_niger"	5061	31103	5061	5052	species	Aspergillus_niger	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147538	716546	NA	147545	NA	NA	451871	5042	NA	NA	NA	1131492	NA	NA	NA	NA	NA	NA	5052	NA	NA	NA	NA	NA	NA	5061	NA	NA	NA	NA	NA	NA	NA	NA	NA
5062	"Aspergillus_oryzae"	5062	3043	5062	5052	species	Aspergillus_oryzae	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147538	716546	NA	147545	NA	NA	451871	5042	NA	NA	NA	1131492	NA	NA	NA	NA	NA	NA	5052	NA	NA	NA	NA	NA	NA	5062	NA	NA	NA	NA	NA	NA	NA	NA	NA
5141	"Neurospora_crassa"	5141	3581	5141	5140	species	Neurospora_crassa	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147538	716546	715989	147550	NA	NA	222544	5139	NA	NA	NA	5148	NA	NA	NA	NA	NA	NA	5140	NA	NA	NA	NA	NA	NA	5141	NA	NA	NA	NA	NA	NA	NA	NA	NA
5145	"Podospora_anserina"	5145	100314	5145	5144	species	Podospora_anserina	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147538	716546	715989	147550	NA	NA	222544	5139	NA	NA	NA	42302	NA	NA	NA	NA	NA	NA	5144	NA	NA	NA	NA	NA	NA	5145	NA	NA	NA	NA	NA	NA	NA	NA	NA
5270	"Ustilago_maydis"	5270	56814	5270	5269	species	Ustilago_maydis	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	5204	NA	NA	452284	NA	NA	5257	NA	NA	NA	5267	NA	NA	NA	5268	NA	NA	NA	NA	NA	NA	5269	NA	NA	NA	NA	NA	NA	5270	NA	NA	NA	NA	NA	NA	NA	NA	NA
5518	"Fusarium_graminearum"	5518	95676	5518	569360	species	Fusarium_graminearum	1	131567	2759	33154	NA	NA	NA	NA	NA	4751	451864	NA	4890	716545	NA	147538	716546	715989	147550	NA	NA	222543	5125	NA	NA	NA	110618	NA	NA	NA	NA	NA	NA	5506	569360	NA	NA	NA	NA	NA	5518	NA	NA	NA	NA	NA	NA	NA	NA	NA
5661	"Leishmania_donovani"	5661	47245642	5661	38574	species	Leishmania_donovani	1	131567	2759	33682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5653	NA	NA	NA	5654	NA	NA	NA	1286322	NA	NA	5658	NA	NA	38568	38574	NA	NA	5661	NA	NA	NA	NA	NA	NA	NA	NA	NA
5689	"Leishmania_tarentolae"	5689	20992	5689	5688	species	Leishmania_tarentolae	1	131567	2759	33682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5653	NA	NA	NA	5654	NA	NA	NA	1286322	NA	NA	5658	5688	NA	NA	NA	NA	NA	5689	NA	NA	NA	NA	NA	NA	NA	NA	NA
5749	"Nannochloropsis_salina"	5749	156789	5749	5748	species	Nannochloropsis_salina	1	131567	2759	33634	NA	NA	NA	NA	NA	NA	NA	NA	5747	NA	NA	NA	NA	NA	NA	NA	NA	NA	425074	NA	NA	NA	425072	NA	NA	NA	NA	NA	NA	5748	NA	NA	NA	NA	NA	NA	5749	NA	NA	NA	NA	NA	NA	NA	NA	NA
5755	"Acanthamoeba_castellanii"	5755	41591	5755	5754	species	Acanthamoeba_castellanii	1	131567	2759	554915	555280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1485168	555407	33677	NA	NA	NA	NA	NA	NA	NA	NA	5754	NA	NA	NA	NA	NA	NA	5755	NA	NA	NA	NA	NA	NA	NA	NA	NA
5762	"Naegleria_gruberi"	5762	63971	5762	5761	species	Naegleria_gruberi	1	131567	2759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5752	NA	NA	NA	41165	NA	NA	NA	5765	NA	NA	NA	NA	NA	NA	5761	NA	NA	NA	NA	NA	NA	5762	NA	NA	NA	NA	NA	NA	NA	NA	NA
5763	"Naegleria_fowleri"	5763	49531	5763	5761	species	Naegleria_fowleri	1	131567	2759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5752	NA	NA	NA	41165	NA	NA	NA	5765	NA	NA	NA	NA	NA	NA	5761	NA	NA	NA	NA	NA	NA	5763	NA	NA	NA	NA	NA	NA	NA	NA	NA
5778	"Vermamoeba_vermiformis"	5778	51645	5778	1260114	species	Vermamoeba_vermiformis	1	131567	2759	554915	555369	180229	555370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5776	NA	NA	NA	NA	NA	NA	1260114	NA	NA	NA	NA	NA	NA	5778	NA	NA	NA	NA	NA	NA	NA	NA	NA
5786	"Dictyostelium_purpureum"	5786	51514218	5786	5782	species	Dictyostelium_purpureum	1	131567	2759	554915	142796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5782	NA	NA	NA	NA	NA	NA	5786	NA	NA	NA	NA	NA	NA	NA	NA	NA
5787	"Dictyostelium_giganteum"	5787	4481	5787	5782	species	Dictyostelium_giganteum	1	131567	2759	554915	142796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5782	NA	NA	NA	NA	NA	NA	5787	NA	NA	NA	NA	NA	NA	NA	NA	NA
5791	"Physarum_polycephalum"	5791	77365	5791	5790	species	Physarum_polycephalum	1	131567	2759	554915	142796	33680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	137627	5789	NA	NA	NA	1115744	NA	NA	NA	NA	NA	NA	5790	NA	NA	NA	NA	NA	NA	5791	NA	NA	NA	NA	NA	NA	NA	NA	NA
5821	"Plasmodium_berghei"	5821	5957	5821	418101	species	Plasmodium_berghei	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418101	NA	NA	NA	5821	NA	NA	NA	NA	NA	NA	NA	NA	NA
5823	"Plasmodium_berghei_ANKA"	5823	26153503	5823	5821	below_species	Plasmodium_berghei_ANKA	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418101	NA	NA	NA	5821	5823	NA	NA	NA	NA	NA	NA	NA	NA
5833	"Plasmodium_falciparum"	5833	5967	5833	418107	species	Plasmodium_falciparum	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418107	NA	NA	NA	5833	NA	NA	NA	NA	NA	NA	NA	NA	NA
5849	"Plasmodium_gallinaceum"	5849	6003	5849	418104	species	Plasmodium_gallinaceum	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418104	NA	NA	NA	5849	NA	NA	NA	NA	NA	NA	NA	NA	NA
5850	"Plasmodium_knowlesi"	5850	5957	5850	418103	species	Plasmodium_knowlesi	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418103	NA	NA	NA	5850	NA	NA	NA	NA	NA	NA	NA	NA	NA
5851	"Plasmodium_knowlesi_strain_H"	5851	34593539	5851	5850	below_species	Plasmodium_knowlesi_strain_H	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418103	NA	NA	NA	5850	5851	NA	NA	NA	NA	NA	NA	NA	NA
5854	"Plasmodium_reichenowi"	5854	5966	5854	418107	species	Plasmodium_reichenowi	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418107	NA	NA	NA	5854	NA	NA	NA	NA	NA	NA	NA	NA	NA
5857	"Plasmodium_fragile"	5857	5977	5857	418103	species	Plasmodium_fragile	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	418103	NA	NA	NA	5857	NA	NA	NA	NA	NA	NA	NA	NA	NA
5859	"Plasmodium_simium"	5859	5990	5859	5820	species	Plasmodium_simium	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	NA	NA	NA	5819	NA	NA	NA	1639119	NA	NA	NA	NA	NA	NA	5820	NA	NA	NA	NA	NA	NA	5859	NA	NA	NA	NA	NA	NA	NA	NA	NA
5868	"Babesia_microti"	5868	11109	5868	5864	species	Babesia_microti	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	5863	NA	NA	NA	NA	NA	NA	32594	NA	NA	NA	NA	NA	NA	5864	NA	NA	NA	NA	NA	NA	5868	NA	NA	NA	NA	NA	NA	NA	NA	NA
5872	"Babesia_equi"	5872	19772530	5872	5864	species	Babesia_equi	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	5863	NA	NA	NA	NA	NA	NA	32594	NA	NA	NA	NA	NA	NA	5864	NA	NA	NA	NA	NA	NA	5872	NA	NA	NA	NA	NA	NA	NA	NA	NA
5875	"Theileria_parva"	5875	5895	5875	5873	species	Theileria_parva	1	131567	2759	33630	NA	NA	NA	NA	NA	NA	NA	NA	5794	NA	NA	NA	NA	NA	422676	5863	NA	NA	NA	NA	NA	NA	27994	NA	NA	NA	NA	NA	NA	5873	NA	NA	NA	NA	NA	NA	5875	NA	NA	NA	NA	NA	NA	NA	NA	NA
