tissue_name	tissue_group	consortium	build	url	filetype	donor_id	sample_id	donor_sex	cell_type
colon_12	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68295.CREST.COC4.WGB-Seq.methylation_profile.bigWig	bw	COC4	COC4	Male	"""Normal human colon absorptive epithelial cells"""
colon_13	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68306.CREST.COC5.WGB-Seq.methylation_profile.bigWig	bw	COC5	COC5	Female	"""Normal human colon absorptive epithelial cells"""
colon_14	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68317.CREST.COC6.WGB-Seq.methylation_profile.bigWig	bw	COC6	COC6	Male	"""Normal human colon absorptive epithelial cells"""
colon_15	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68131.CREST.COC7.WGB-Seq.methylation_profile.bigWig	bw	COC7	COC7	Female	"""Normal human colon absorptive epithelial cells"""
colon_16	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65669.CEEHRC.CEMT0050.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AK-DIV-01	CEMT0050	Male	"""Large Instestine-Colon-rectosigmoid"""
colon_17	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68141.CREST.COC8.WGB-Seq.methylation_profile.bigWig	bw	COC8	COC8	Female	"""Normal human colon absorptive epithelial cells"""
colon_18	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68152.CREST.COC11.WGB-Seq.methylation_profile.bigWig	bw	COC11	COC11	Male	"""Normal human colon absorptive epithelial cells"""
colon_19	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68163.CREST.COC14.WGB-Seq.methylation_profile.bigWig	bw	COC14	COC14	Male	"""Normal human colon absorptive epithelial cells"""
colon_20	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68174.CREST.COC15.WGB-Seq.methylation_profile.bigWig	bw	COC15	COC15	Female	"""Normal human colon absorptive epithelial cells"""
colon_21	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68185.CREST.COC16.WGB-Seq.methylation_profile.bigWig	bw	COC16	COC16	Male	"""Normal human colon absorptive epithelial cells"""
colon_22	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68196.CREST.COC20.WGB-Seq.methylation_profile.bigWig	bw	COC20	COC20	Male	"""Normal human colon absorptive epithelial cells"""
colon_23	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68207.CREST.COC21.WGB-Seq.methylation_profile.bigWig	bw	COC21	COC21	Female	"""Normal human colon absorptive epithelial cells"""
colon_24	colon	AMED-CREST	hg38	https://epigenomesportal.ca/tracks/CREST/hg38/68218.CREST.COC22.WGB-Seq.methylation_profile.bigWig	bw	COC22	COC22	Female	"""Normal human colon absorptive epithelial cells"""
colon_25	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65671.CEEHRC.CEMT0051.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AK-DIV-02	CEMT0051	Male	"""Large Intestine-Colon-resctosigmoid"""
dendritic_1	dendritic	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00CP6/conventional_dendritic_cell/Bisulfite-Seq/CNAG/S00CP651.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00CP6	S00CP651	Female	"""Conventional dendritic cell"""
dendritic_2	dendritic	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00D71/conventional_dendritic_cell/Bisulfite-Seq/CNAG/S00D7151.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00D71	S00D7151	Male	"""Conventional dendritic cell"""
eosinophil_1	eosinophil	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52964.CEEHRC.MS032601.WGB-Seq.methylation_profile.bigWig	bw	McGILL0326	MS032601	Male	"""Eosinophil"""
eosinophil_2	eosinophil	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52967.CEEHRC.MS032701.WGB-Seq.methylation_profile.bigWig	bw	McGill0327	MS032701	Female	"""Eosinophil"""
eosinophil_3	eosinophil	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52970.CEEHRC.MS032801.WGB-Seq.methylation_profile.bigWig	bw	McGill0328	MS032801	Unknown	"""Eosinophil"""
eosinophil_4	eosinophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S006XE/mature_eosinophil/Bisulfite-Seq/CNAG/S006XE53.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S006XE	S006XE53	Male	"""mature eosinophil"""
eosinophil_5	eosinophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00V65/mature_eosinophil/Bisulfite-Seq/CNAG/S00V6553.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00V65	S00V6553	Female	"""mature eosinophil"""
erythroblast_1	erythroblast	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S002R5/erythroblast/Bisulfite-Seq/CNAG/S002R551.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S002R5	S002R551	Male	"""Erythroblast"""
erythroblast_2	erythroblast	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S002S3/erythroblast/Bisulfite-Seq/CNAG/S002S351.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S002S3	S002S351	Female	"""Erythroblast"""
heart_1	heart	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF574CIC/@@download/ENCFF574CIC.bigWig	bw	STL001	ENCFF574CIC	Male	"""Right ventrical Cells"""
heart_2	heart	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF402PAI/@@download/ENCFF402PAI.bigWig	bw	STL003	ENCFF402PAI	Male	"""Right ventrical Cells"""
heart_3	heart	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF307QSV/@@download/ENCFF307QSV.bigWig	bw	STL001	ENCFF307QSV	Male	"""Left ventrical cells"""
heart_4	heart	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF434VBG/@@download/ENCFF434VBG.bigWig	bw	STL003	ENCFF434VBG	Male	"""Left ventrical cells"""
hsc_1	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62853.Blueprint.HSC_BM_I56.WGB-Seq.methylation_profile.bigWig	bw	56	HSC_BM_I56	Male	"""HSC from bone marrow"""
hsc_2	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62855.Blueprint.HSC_CB_I26.WGB-Seq.methylation_profile.bigWig	bw	26	HSC_CB_I26	Male	"""HSC from cord blood"""
hsc_3	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62857.Blueprint.HSC_CB_I28.WGB-Seq.methylation_profile.bigWig	bw	28	HSC_CB_I28	Male	"""HSC from cord blood"""
hsc_4	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62859.Blueprint.HSC_CB_I29.WGB-Seq.methylation_profile.bigWig	bw	29	HSC_CB_I29	Male	"""HSC from cord blood"""
hsc_5	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62865.Blueprint.HSC_PB_I24.WGB-Seq.methylation_profile.bigWig	bw	24	HSC_PB_I24	Male	"""HSC from peripheral blood"""
hsc_6	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62867.Blueprint.HSC_PB_I30.WGB-Seq.methylation_profile.bigWig	bw	30	HSC_PB_I30	Male	"""HSC from peripheral blood"""
hsc_7	hsc	BLUEPRINT	hg38	https://epigenomesportal.ca/tracks/Blueprint/hg38/62869.Blueprint.HSC_PB_I31.WGB-Seq.methylation_profile.bigWig	bw	31	HSC_PV_I31	Male	"""HSC from peripheral blood"""
kidney_1	kidney	KNIH	hg19	https://epigenomesportal.ca/tracks/KNIH/hg19/64277.KNIH.CKD23_C_Mesan_WGBS.WGB-Seq.methylation_profile.bigWig	bw	KEP20140012	CKD23_C_mesan_wgbs	Male	"""Mesangial"""
kidney_2	kidney	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63978.KNIH.KNIH_010_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140008	KNIH_010_genomic_dna	Female	"""Podocyte"""
kidney_3	kidney	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/63982.KNIH.KNIH_011_genomic_DNA.WGB-Seq.methylation_profile.bigWig	bw	KEP20140009	KNIH_011_genomic_dna	Male	"""Podocyte"""
kidney_4	kidney	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/64282.KNIH.CKD24_C_Podo_WGBS.WGB-Seq.methylation_profile.bigWig	bw	KEP20140013	CKD24_C_podo_wgbs	Male	"""Podocyte"""
kidney_5	kidney	KNIH	hg19	http://epigenomesportal.ca/tracks/KNIH/hg19/64287.KNIH.CKD25_C_Podo_WGBS.WGB-Seq.methylation_profile.bigWig	bw	KEP20140014	CKD25_C_podo_wgbs	Male	"""Podocyte"""
kidney_6	kidney	KNIH	hg19	https://epigenomesportal.ca/tracks/KNIH/hg19/64292.KNIH.CKD27_C_Mesan_WGBS.WGB-Seq.methylation_profile.bigWig	bw	KEP20140015	CKD27_C_mesan_wgbs	Male	"""Mesangial"""
kidney_7	kidney	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/51619.CEEHRC.MS002202.WGB-Seq.methylation_profile.bigWig	bw	McGill0022	MS002202	Unknown	"""Kidney"""
kidney_8	kidney	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/53346.CEEHRC.MS040101.WGB-Seq.methylation_profile.bigWig	bw	McGill0401	MS040101	Unknown	"""Kidney"""
kidney_9	kidney	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/53370.CEEHRC.MS040201.WGB-Seq.methylation_profile.bigWig	bw	McGill0402	MS040201	Unknown	"""Kidney"""
kidney_10	kidney	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/53391.CEEHRC.MS040301.WGB-Seq.methylation_profile.bigWig	bw	McGill0403	MS040301	Unknown	"""Kidney"""
liver_1	liver	DEEP	hg19	http://epigenomesportal.ca/tracks/DEEP/hg19/63053.DEEP.41_Hf01_LiHe_Ct.WGB-Seq.methylation_profile.bigWig	bw	41_Hf01	41_Hf01_LIHE_CT	Female	"""Hepatocyte"""
liver_2	liver	DEEP	hg19	http://epigenomesportal.ca/tracks/DEEP/hg19/63078.DEEP.41_Hf02_LiHe_Ct.WGB-Seq.methylation_profile.bigWig	bw	41_Hf02	41_Hf02_LIHE_CT	Female	"""Hepatocyte"""
liver_3	liver	DEEP	hg19	http://epigenomesportal.ca/tracks/DEEP/hg19/63099.DEEP.41_Hf03_LiHe_Ct.WGB-Seq.methylation_profile.bigWig	bw	41_Hf03	41_Hf03_LIHE_CT	Female	"""Hepatocyte"""
liver_4	liver	ROADMAP	hg19	http://epigenomesportal.ca/tracks/Roadmap/hg19/28956.Roadmap.SRS167285_3_603.WGB-Seq.signal.bigWig	bw	3	SRS167285	Female	"""Adult liver"""
liver_5	liver	AMED-CREST	hg19	https://epigenomesportal.ca/tracks/CREST/hg19/63635.CREST.HPC6.WGB-Seq.methylation_profile.bigWig	bw	HPC6	HPC6	Male	"""Hepatocyte"""
liver_6	liver	AMED-CREST	hg19	https://epigenomesportal.ca/tracks/CREST/hg19/63658.CREST.HPC20.WGB-Seq.methylation_profile.bigWig	bw	HPC20	HPC20	Female	"""Hepatocyte"""
liver_7	liver	AMED-CREST	hg19	https://epigenomesportal.ca/tracks/CREST/hg19/63680.CREST.HPC27.WGB-Seq.methylation_profile.bigWig	bw	HPC27	HPC27	Female	"""Hepatocyte"""
liver_8	liver	AMED-CREST	hg19	https://epigenomesportal.ca/tracks/CREST/hg19/63680.CREST.HPC27.WGB-Seq.methylation_profile.bigWig	bw	HPC28	HPC28	Female	"""Hepatocyte"""
liver_9	liver	AMED-CREST	hg19	https://epigenomesportal.ca/tracks/CREST/hg19/63680.CREST.HPC27.WGB-Seq.methylation_profile.bigWig	bw	HPC35	HPC35	Male	"""Hepatocyte"""
lung_1	lung	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF150FCJ/@@download/ENCFF150FCJ.bigWig	bw	ENCFF150FCJ	ENCSR224CTR	Male	"""Upper lobe of left lung"""
lung_2	lung	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF249IVT/@@download/ENCFF249IVT.bigWig	bw	ENCFF249IVT	ENCSR556KEJ	Female	"""Lung"""
lung_3	lung	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF267XIO/@@download/ENCFF267XIO.bigWig	bw	ENCFF267XIO	ENCSR674VXR	Female	"""Upper lobe of left lung"""
lung_4	lung	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF990HTE/@@download/ENCFF990HTE.bigWig	bw	ENCFF990HTE	ENCSR797TEV	Male	"""lung"""
lung_5	lung	private	hg19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5263257/SRR5263257.1	sra	GSM2493802_donor1	GSM2493802	Unknown	"""lung AT2"""
lung_6	lung	private	hg19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5263258/SRR5263258.1 AND https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/SRR5263259/SRR5263259.1	sra	GSM2493803_donor2	GSM2493803_donor2	Unknown	"""lung AT2"""
macrophage_1	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C005VG/macrophage/Bisulfite-Seq/CNAG/C005VG51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C005VG	C005VG51	Male	"""Macrophage"""
macrophage_2	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00BS4/alternatively_activated_macrophage/Bisulfite-Seq/CNAG/S00BS451.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00BS4	S00BS451	Female	"""alternatively activate macrophage"""
macrophage_3	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00FTN/alternatively_activated_macrophage/Bisulfite-Seq/CNAG/S00FTN51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00FTN	S00FTN51	Female	"""alternatively activate macrophage"""
macrophage_4	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00H6O/inflammatory_macrophage/Bisulfite-Seq/CNAG/S00H6O51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00H6O	S00H6O51	Male	"""inflammatory macrophage"""
macrophage_5	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001MJ/inflammatory_macrophage/Bisulfite-Seq/CNAG/S001MJ51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S001MJ	S001MJ51	Male	"""inflammatory macrophage"""
macrophage_6	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001S7/macrophage/Bisulfite-Seq/CNAG/S001S751.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S001S7	S001S751	Female	"""macrophage"""
macrophage_7	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S0022I/macrophage/Bisulfite-Seq/CNAG/S0022I51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S0022I	S0022I51	Female	"""macrophage"""
macrophage_8	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00390/macrophage/Bisulfite-Seq/CNAG/S0039051.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00390	S0039051	Male	"""macrophage"""
macrophage_9	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00622/alternatively_activated_macrophage/Bisulfite-Seq/CNAG/S0062252.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S00622	S0062252	Male	"""alternatively activate macrophage"""
macrophage_10	macrophage	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S006VI/alternatively_activated_macrophage/Bisulfite-Seq/CNAG/S006VI53.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S006V1	S006VI53	Male	"""alternatively activate macrophage"""
monocyte_1	monocyte	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C000S5/CD14-positive_CD16-negative_classical_monocyte/Bisulfite-Seq/CNAG/C000S5A1bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C000S5	C000S5A1	Male	"""CD14-positive, CD16-negative classical monocyte"""
monocyte_2	monocyte	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0010K/CD14-positive_CD16-negative_classical_monocyte/Bisulfite-Seq/CNAG/C0010KA2bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C0010K	C0010KA1	Female	"""CD14-positive, CD16-negative classical monocyte"""
monocyte_3	monocyte	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001UY/CD14-positive_CD16-negative_classical_monocyte/Bisulfite-Seq/CNAG/C001UYA3bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C001UY	C001UYA3	Male	"""CD14-positive, CD16-negative classical monocyte"""
monocyte_4	monocyte	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C004SQ/CD14-positive_CD16-negative_classical_monocyte/Bisulfite-Seq/CNAG/C004SQ51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C004SQ	C004SQ51	Female	"""CD14-positive, CD16-negative classical monocyte"""
monocyte_5	monocyte	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/Primary_monocytes_Donor_D/monocyte_-_None/Bisulfite-Seq/CNAG/S01E03A1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	Primary_monocytes_Donor_D	S01E03A1	Male	"""monocyte"""
monocyte_6	monocyte	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/Primary_monocytes_Donor_G/monocyte_-_None/Bisulfite-Seq/CNAG/S01MAPA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	Primary_monocytes_Donor_G	S01MAPA1	Female	"""monocyte"""
neutrophil_1	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C000S5/mature_neutrophil/Bisulfite-Seq/CNAG/C000S5A2bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C000S5	C000S5A2	Male	"""Mature neutrophil"""
neutrophil_2	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0010K/mature_neutrophil/Bisulfite-Seq/CNAG/C0010KA1bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C0010K	C0010KA1	Female	"""Mature neutrophil"""
neutrophil_3	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0011I/mature_neutrophil/Bisulfite-Seq/CNAG/C0011IA3bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C0011I	C0011IA3	Female	"""Mature neutrophil"""
neutrophil_4	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001UY/mature_neutrophil/Bisulfite-Seq/CNAG/C001UYA1bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C001UY	C001UYA1	Male	"""Mature neutrophil"""
neutrophil_5	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB100713/mature_neutrophil/Bisulfite-Seq/CNAG/S00K5EA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	PB100713	S00K5EA1	Male	"""Mature neutrophil"""
neutrophil_6	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB130513/mature_neutrophil/Bisulfite-Seq/CNAG/S00FWHA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	PB130513	S00FWHA1	Male	"""Mature neutrophil"""
neutrophil_7	neutrophil	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB270313/mature_neutrophil/Bisulfite-Seq/CNAG/S00K7AA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	PB270313	S00K7AA1	Male	"""Mature neutrophil"""
nkcell_1	nkcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C002CT/cytotoxic_CD56-dim_natural_killer_cell/Bisulfite-Seq/CNAG/C002CTA1bs.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C002CT	C002CTA2	Male	"""Cytotoxic CD56-dim natural killer cell"""
